date,latitude,longitude
2007-08-18 04:26:00,39.9833,116.3312
2007-08-18 04:44:00,39.9813,116.3283
2007-08-18 04:45:00,39.9819,116.3289
2007-08-18 04:46:00,39.9823,116.3285
2007-08-18 04:47:00,39.9825,116.3287
2007-08-20 01:49:00,39.9813,116.3278
2007-08-20 01:50:00,39.9806,116.3279
2007-08-20 01:51:00,39.9799,116.3280
2007-08-20 01:52:00,39.9793,116.3281
2007-08-20 01:54:00,39.9786,116.3284
2007-08-20 01:55:00,39.9778,116.3285
2007-08-20 01:56:00,39.9772,116.3286
2007-08-20 01:58:00,39.9769,116.3299
2007-08-20 01:59:00,39.9764,116.3301
